product_category_name_english,ca_total,nb_commandes,taux_retard,note_moyenne,poids_moyen
health_beauty,1233131.72,8647,0.08,4.19,1047.38
watches_gifts,1166176.98,5495,0.07,4.07,584.07
bed_bath_table,1023434.76,9272,0.07,3.92,2118.64
sports_leisure,954852.55,7530,0.06,4.17,1706.4
computers_accessories,888724.61,6530,0.06,3.99,898.37
furniture_decor,711927.69,6307,0.07,3.95,2640.27
housewares,615628.69,5743,0.05,4.11,3216.65
cool_stuff,610204.1,3559,0.06,4.2,2543.95
auto,578966.65,3810,0.07,4.12,2596.1
toys,471286.48,3804,0.06,4.21,1853.01
garden_tools,470495.28,3448,0.07,4.08,2808.82
baby,400421.84,2809,0.08,4.08,3260.47
perfumery,390144.65,3086,0.06,4.22,483.47
telephony,309860.23,4093,0.07,3.99,260.82
office_furniture,268154.31,1254,0.08,3.51,11340.06
stationery,223788.69,2264,0.07,4.25,2742.52
computers,218684.14,177,0.05,4.22,7203.32
pet_shop,211695.64,1688,0.05,4.22,2911.85
musical_instruments,184315.74,611,0.07,4.22,3134.54
small_appliances,182754.12,609,0.05,4.22,2929.35
unknown,175967.21,1412,0.07,3.93,1659.53
electronics,155043.93,2517,0.08,4.07,771.08
fashion_bags_accessories,149329.39,1820,0.05,4.19,377.39
consoles_games,148003.37,1018,0.06,4.14,446.7
construction_tools_construction,142108.49,736,0.06,4.09,3096.77
luggage_accessories,138701.63,1019,0.04,4.35,5803.45
home_appliances_2,107953.95,227,0.06,4.16,8926.14
home_construction,81407.57,483,0.06,3.96,3036.71
home_appliances,78832.48,747,0.05,4.23,1933.84
agro_industry_and_commerce,70566.1,177,0.03,4.09,3683.13
furniture_living_room,67350.7,414,0.07,3.93,8101.21
home_confort,58008.45,392,0.09,3.85,3122.61
fixed_telephony,55315.21,212,0.04,3.76,559.36
air_conditioning,53323.56,246,0.04,4.05,4093.66
audio,50570.6,348,0.12,3.84,1221.72
kitchen_dining_laundry_garden_furniture,45531.98,241,0.04,4.03,8938.14
books_general_interest,45302.15,496,0.06,4.51,744.75
construction_tools_lights,39957.0,242,0.07,4.08,3386.93
construction_tools_safety,38773.22,159,0.03,3.97,813.92
industry_commerce_and_business,38498.81,232,0.06,4.13,6601.73
food,28731.15,441,0.07,4.26,646.6
market_place,27795.77,274,0.04,4.07,1092.01
costruction_tools_garden,25096.28,190,0.06,4.12,2328.83
art,23657.3,195,0.06,4.08,1542.27
fashion_shoes,23001.46,235,0.04,4.28,1043.39
drinks,21529.84,287,0.04,4.12,975.25
signaling_and_security,21315.05,138,0.04,4.09,3916.03
books_technical,18702.23,256,0.08,4.39,1014.68
food_drink,14942.88,221,0.04,4.36,1126.19
fashion_male_clothing,10452.33,106,0.06,3.76,591.4
fashion_underwear_beach,9305.95,117,0.09,4.05,278.94
christmas_supplies,8737.84,125,0.1,4.07,1926.22
