seller_id,nb_commandes,taux_retard,note_moyenne,delai_expedition_moyen,categorie
0015a82c2db000af6aaaf3ae2ecb0532,3,0.0,3.67,3.0,Volume faible — Performant
001cca7ae9ae17fb1caed9dfb1094831,195,0.05,3.97,2.14,Volume élevé — Performant
002100f778ceb8431b7a1020ff7ab48f,50,0.17,4.04,4.09,Volume élevé — Non performant
003554e2dce176b5555353e4f3555ac8,1,0.0,5.0,0.0,Volume faible — Performant
004c9cd9d87a3c30c522c48c4fc07416,156,0.06,4.16,1.29,Volume élevé — Performant
00720abe85ba0859807595bbf045a33b,13,0.08,3.65,2.08,Volume faible — Performant
00ab3eff1b5192e5f1a63bcecfee11c8,1,0.0,5.0,3.0,Volume faible — Performant
00d8b143d12632bad99c0ad66ad52825,1,0.0,5.0,1.0,Volume faible — Performant
00ee68308b45bc5e2660cd833c3f81cc,135,0.06,4.33,1.62,Volume élevé — Performant
00fc707aaaad2d31347cf883cd2dfe10,103,0.04,3.79,2.36,Volume élevé — Performant
010543a62bd80aa422851e79a3bc7540,2,0.0,4.5,3.0,Volume faible — Performant
010da0602d7774602cd1b3f5fb7b709e,1,0.0,1.0,21.0,Volume faible — Performant
011b0eaba87386a2ae96a7d32bb531d1,1,0.0,4.0,15.0,Volume faible — Performant
01266d4c46afa519678d16a8b683d325,3,0.0,5.0,0.33,Volume faible — Performant
013900e863eace745d3ec7614cab5b1a,23,0.0,4.73,2.69,Volume faible — Performant
014c0679dd340a0e338872e7ec85666a,14,0.13,3.67,5.13,Volume faible — Non performant
014d9a685fd57276679edd00e07089e5,11,0.0,3.83,1.92,Volume faible — Performant
0176f73cc1195f367f7b32db1e5b3aa8,37,0.11,4.05,1.66,Volume faible — Non performant
01bcc9d254a0143f0ce9791b960b2a47,10,0.0,4.4,1.1,Volume faible — Performant
01c97ebb5cdac52891c0ed1c37ba0012,9,0.0,4.08,0.75,Volume faible — Performant
01cf7e3d21494c41fb86034f2e714fa1,59,0.05,4.19,2.32,Volume élevé — Performant
01ed254b9ff8407dfb9d99ba1e17d923,5,0.0,5.0,1.2,Volume faible — Performant
01fd077212124329bac32490e8ef80d9,31,0.03,4.31,0.97,Volume faible — Performant
01fdefa7697d26ad920e9e0346d4bd1b,128,0.05,4.37,1.33,Volume élevé — Performant
0241d4d5d36f10f80c644447315af0bd,238,0.04,4.31,1.64,Volume élevé — Performant
0249d282d911d23cb8b869ab49c99f53,11,0.18,4.27,4.09,Volume faible — Non performant
024b564ae893ce8e9bfa02c10a401ece,2,0.0,4.75,12.0,Volume faible — Performant
028872bfa080090a9d0abd4f1af168f8,1,0.0,5.0,4.0,Volume faible — Performant
02b72cdeb9cfcc429f1af6f4e3f3b737,4,0.0,4.75,1.0,Volume faible — Performant
02c988090b766852e088c69d7fb3b551,12,0.0,4.69,1.31,Volume faible — Performant
02d35243ea2e497335cd0f076b45675d,14,0.25,2.69,9.88,Volume faible — Non performant
02dcd3e8e25bee036e32512bcf175493,13,0.33,3.93,3.73,Volume faible — Non performant
02ecc2a19303f05e59ce133fd923fff7,21,0.0,4.54,3.54,Volume faible — Performant
02f5837340d7eb4f653d676c7256523a,30,0.03,4.83,2.27,Volume faible — Performant
02f623a8eb246f3c5f7c2f96462654e6,44,0.07,4.56,0.68,Volume faible — Performant
0307f7565ff85b299b6e5ef162b1b1a9,6,0.0,3.5,6.33,Volume faible — Performant
0336182e1b3e92f029d5354832045fdf,1,0.0,2.0,9.0,Volume faible — Performant
034b9387752bfa309f350a70cd45ffa3,8,0.0,4.5,1.88,Volume faible — Performant
038b75b729c8a9a04b0d07cba7eabe86,2,0.5,3.5,4.0,Volume faible — Non performant
039b29ff3b3473435d0cd59040575de9,9,0.0,4.44,3.56,Volume faible — Performant
039e6ad9dae79614493083e241147386,5,0.2,4.0,3.8,Volume faible — Non performant
03a2a6dcbe45d639c4dc2a0d24769c40,9,0.11,4.11,1.44,Volume faible — Non performant
03bd479e1d9484cdb14104d3023f7321,3,0.0,4.33,4.67,Volume faible — Performant
0417b067eeab773d2f7061a726dc477f,13,0.23,3.92,1.31,Volume faible — Non performant
042573af89b6d931f672efaf789d8358,3,0.33,3.67,2.0,Volume faible — Non performant
04308b1ee57b6625f47df1d56f00eedf,92,0.08,3.95,5.84,Volume élevé — Performant
0432ead42b6c8a0bdf68154add917fdf,82,0.02,4.55,1.23,Volume élevé — Performant
044668ccd5316b12a7cf0d54a156e3e9,3,0.0,5.0,0.75,Volume faible — Performant
04843805947f0fc584fc1969b6e50fe7,1,0.0,5.0,8.0,Volume faible — Performant
048c2757535328e0d7dac690ad3c0aae,50,0.12,4.24,2.44,Volume élevé — Non performant
04aa0a1c5ce6b222003403a3e11c3cc0,11,0.12,3.53,3.82,Volume faible — Non performant
04aba03279157f6d4e0fe8ccaf21963c,15,0.07,4.53,3.13,Volume faible — Performant
