customer_state,nb_commandes,taux_retard,delai_moyen,taux_retard_pct
AL,397,0.214,24.04,21.4
MA,717,0.174,21.117,17.4
SE,335,0.152,21.03,15.2
PI,476,0.139,18.994,13.9
CE,1279,0.138,20.818,13.8
BA,3256,0.122,18.866,12.2
RR,41,0.122,28.976,12.2
RJ,12350,0.121,14.849,12.1
PA,946,0.112,23.316,11.2
ES,1995,0.107,15.332,10.7
PB,517,0.104,19.954,10.4
TO,274,0.099,17.226,9.9
MS,701,0.097,15.191,9.7
PE,1593,0.096,17.965,9.6
RN,474,0.093,18.825,9.3
SC,3546,0.082,14.475,8.2
GO,1957,0.065,15.151,6.5
RS,5345,0.061,14.819,6.1
MT,886,0.06,17.594,6.0
DF,2080,0.057,12.509,5.7
MG,11354,0.046,11.542,4.6
SP,40501,0.045,8.298,4.5
PR,4923,0.04,11.527,4.0
AC,80,0.038,20.638,3.8
AP,67,0.03,26.731,3.0
RO,243,0.029,18.914,2.9
AM,145,0.028,25.986,2.8
